Who announced that Java run-time environments based on JDK 9 will discontinue the browser plugin in January 2016?,Oracle,"In January 2016, Oracle announced that Java run-time environments based on JDK 9 will discontinue the browser plugin.",3.5505296190283597,"['Montana', 'Boston', 'Oracle', 'Bahrain']"
Who is the current owner of the official implementation of the Java SE platform?,Oracle Corporation,"Oracle Corporation is the current owner of the official implementation of the Java SE platform, following their acquisition of Sun Microsystems on January 27,2010.",3.4039559907502164,"['David Hyland Red Hat Software', 'Robert Clinton Best Buy', 'Oracle Corporation', 'Paul Sernoty SAP']"
Whose trademark license for usage of the Java brand insists that all implementations be compatible?,Sun's trademark license for usage of the Java brand,"Historically, Sun's trademark license for usage of the Java brand insists that all implementations be compatible.",3.3827303336472885,"[""America's patent licence for use of the C product"", ""Colombia's infringement licensing for e.g. of the Python marketing"", ""Germany's signature licences for refers of the C++ products"", ""Sun's trademark license for usage of the Java brand""]"
When did Oracle announce that Java run-time environments based on JDK 9 will discontinue the browser plugin?,in January 2016,"In January 2016, Oracle announced that Java run-time environments based on JDK 9 will discontinue the browser plugin.",3.372736880853154,"['in december 2018', 'in february 2014', 'in January 2016', 'in october 2015']"
What does Java servlet technology provide Web developers with?,"with a simple, consistent mechanism for extending the functionality of a Web server and for accessing existing business systems","Java servlet technology provides Web developers with a simple, consistent mechanism for extending the functionality of a Web server and for accessing existing business systems.",3.3564234499461243,"['with a easy, solid system for extended the built-in of a online software and for downloading current industry technologies', 'with a simple, consistent mechanism for extending the functionality of a Web server and for accessing existing business systems', 'with a straightforward, inconsistent framework for extend the interface of a internet desktop and for access expand businesses system', 'with a rather, strong facilitate for extends the interfaces of a website browser and for accessed build companies devices']"
Who did Oracle announce that Java run-time environments based on JDK 9 will discontinue in January 2016?,the browser plugin,"In January 2016, Oracle announced that Java run-time environments based on JDK 9 will discontinue the browser plugin.",3.3248504268612904,"['the firefox add-on', 'the browser plugin', 'the microsoft sdk', 'the netscape javascript']"
Who is another notable Java SE implementation that is licensed under the GNU GPL?,OpenJDK,OpenJDK is another notable Java SE implementation that is licensed under the GNU GPL.,3.3230978546525476,"['PeopleSoft', 'SAP', 'Best Buy', 'OpenJDK']"
Who aims to replace CMS with the Garbage-First Collector?,Oracle,Oracle aims to replace CMS with the Garbage-First Collector.,3.2744090152036844,"['Bahrain', 'Boston', 'Michigan', 'Oracle']"
"Who resigned from Oracle on April 2,2010?",James Gosling,"On April 2,2010, James Gosling resigned from Oracle.",3.2733191419537624,"['James Gosling', 'Robert Clinton ryan', 'David Hyland phillippe', 'Johann Carry callum']"
What led to a legal dispute between Oracle and Google?,the use of Java-related technology in Android,The use of Java-related technology in Android led to a legal dispute between Oracle and Google.,3.2598332193955404,"['the using of Java-related tech in John Thomas', 'the use of Java-related technology in Android', 'the used of Java-related technologies in David Hyland', 'the allow of Java-related technological in George Flank']"
When was Java released as a core component of Sun Microsystems ' Java platform?,in 1995,Java was originally developed by James Gosling at Sun Microsystems (which has since been acquired by Oracle) and released in 1995 as a core component of Sun Microsystems ' Java platform.,3.2431667633180488,"['in 1996', 'in 1993', 'in 1995', 'in 1994']"
Whose vice-president Rich Green said that Sun's ideal role with regard to Java was as an evangelist?,Sun's vice-president Rich Green,Sun's vice-president Rich Green said that Sun's ideal role with regard to Java was as an evangelist.,3.2300068274629847,"[""America's vice-chairman Richard Mccullam"", ""Bahrain's secretary-treasurer John Thomas"", ""Sun's vice-president Rich Green"", ""Germany's treasurer James Hockey""]"
What was released in 1995 as a core component of Sun Microsystems ' Java platform?,Java,Java was originally developed by James Gosling at Sun Microsystems (which has since been acquired by Oracle) and released in 1995 as a core component of Sun Microsystems ' Java platform.,3.229623851474953,"['C++', 'C', 'Python', 'Java']"
What is the bytecode language supported by the Android SDK incompatible with?,with Java bytecode,"The bytecode language supported by the Android SDK is incompatible with Java bytecode and runs on its own virtual machine, optimized for low-memory devices such as smartphones and tablet computers.",3.2110030796141653,"['with Java bytecode', 'with C jvm', 'with C++ p-code', 'with Python runtime']"
Where is Platform-independent Java essential?,to Java EE,"Platform-independent Java is essential to Java EE, and an even more rigorous validation is required to certify an implementation.",3.2082721777500818,"['to C lihn', 'to Java EE', 'to Python uh', 'to C++ sah']"
Who said that Sun's ideal role with regard to Java was as an evangelist?,Sun's vice-president Rich Green,Sun's vice-president Rich Green said that Sun's ideal role with regard to Java was as an evangelist.,3.2055835081008612,"[""Colombia's vice-chairman Richard Mccullam"", ""Texas's treasurer George Flank"", ""Bahrain's secretary-treasurer John Thomas"", ""Sun's vice-president Rich Green""]"
